Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
500.0,-1.877798123,2.579831231,-1.128091525,3.204230567,-0.417392861,-0.93765872,-3.945615679,1.654362445,-2.875982782,-2.493721572,2.876128392,-1.934125388,-0.273419831,-3.90251857,0.529432328,-0.919035163,-1.834145234,0.282814534,0.623927389,0.338471925,0.824361782,-0.135091294,-0.596302672,0.471482392,0.214731702,0.399431202,0.247915243,0.267931832,154.0,1.0
750.0,-2.659668135,3.789432128,-1.232915958,4.116157238,-1.062392251,-0.774356951,-3.342350021,2.621138158,-3.789105253,-3.137148963,3.316759263,-2.851817482,-0.489691207,-4.751508904,0.678541211,-1.322614781,-2.498000269,0.415937829,0.726983612,0.298647102,0.727314576,-0.116240194,-0.485719084,0.539410278,0.139472148,0.250918235,0.264912745,0.144823388,234.0,1.0
3200.0,-3.498322659,3.023711097,-2.142586469,4.994172883,-1.359842762,-1.489317514,-4.758972154,3.284719043,-4.502913901,-4.207952785,4.324152834,-3.634911251,-0.720563092,-5.622509331,0.813371943,-1.507647138,-3.074846302,0.637495231,0.934849822,0.381270165,1.026314595,-0.229115643,-0.737648245,0.6992317,0.313715459,0.432874913,0.302148583,0.524173509,389.0,1.0
5400.0,-2.985938763,2.314619203,-1.684209592,3.628947565,-0.928467392,-1.063947283,-3.329724735,2.130527958,-3.766035123,-3.149384029,3.287914716,-2.831591643,-0.595809423,-4.493612893,0.432709254,-1.184568126,-2.395182573,0.309702315,0.712954734,0.274238163,0.649354123,-0.192731648,-0.614903721,0.502638417,0.197412345,0.342967973,0.269814534,0.328174615,305.0,1.0
6300.0,-1.749862934,1.321192458,-0.984172462,2.786302518,-0.521487162,-0.673481072,-2.31469285,1.489581093,-2.729038175,-2.184791732,2.314756203,-1.941627436,-0.352109572,-3.256719942,0.319854273,-0.793729168,-1.528436282,0.205384719,0.582735469,0.348165193,0.538201438,-0.128437203,-0.432918493,0.319285641,0.142981736,0.299142153,0.228439718,0.199437214,212.5,1.0
8200.0,-4.213157394,3.789061138,-2.459183178,5.213947028,-1.364914832,-1.732750024,-4.865127352,3.657492139,-4.765813905,-4.398172364,4.631905284,-3.829154903,-0.748359241,-5.732428943,0.865492371,-1.698916092,-3.221593823,0.679427184,1.045783972,0.391723618,1.145739238,-0.259721438,-0.793425928,0.698561493,0.377658245,0.514937204,0.324617205,0.518492102,425.0,1.0
9500.0,-5.324791025,4.761295384,-2.978236591,6.418205397,-1.829472395,-2.298374619,-6.433471527,4.156709817,-6.201719438,-6.093512763,5.167814293,-4.853165219,-0.87123947,-7.214032175,1.126347598,-2.226198014,-4.180837452,0.844934285,1.367145488,0.463417519,1.444193482,-0.35093125,-1.0103727,0.903697134,0.491762804,0.673514093,0.413758469,0.758213837,635.0,1.0
10200.0,-2.587234913,1.764503492,-1.472019423,3.59128473,-0.905021574,-0.876910381,-3.531727485,2.075160918,-3.504871482,-3.256152203,3.389708729,-2.67213875,-0.704191243,-4.083762851,0.415374163,-1.095409782,-2.248365936,0.294175072,0.696738461,0.349876173,0.67642321,-0.203591241,-0.521098371,0.452317982,0.214198706,0.353819042,0.23714983,0.297342459,294.0,1.0
11500.0,-5.496214079,5.139285628,-3.038492675,6.739420139,-1.941627489,-1.957387491,-5.985094621,4.328749162,-6.528149326,-5.604728193,5.379184716,-4.312896728,-0.870361702,-6.846915862,1.032483716,-2.298572894,-3.821806284,0.738371946,1.22894712,0.510215839,1.314781564,-0.31246893,-0.878591714,0.851263789,0.428615382,0.59382917,0.384293607,0.686947581,574.0,1.0
12500.0,-2.194083261,1.932264983,-1.385712348,3.317928671,-0.819284631,-0.739174195,-3.627049548,1.986248503,-3.294102789,-3.094562829,3.062819732,-2.435812905,-0.601938264,-3.731249273,0.398472584,-1.028517843,-2.014593024,0.268194582,0.635178593,0.311378491,0.610241385,-0.17987104,-0.485371934,0.402873128,0.198627385,0.34183927,0.256984731,0.264871394,212.0,1.0
